"subject","LSD","PLCB","diff","loo_influence","influential","diff_zscore","metric"
"sub-001",50.1968790940886,55.061525908862,-4.8646468147734,0.228446883105344,FALSE,-0.578123347669233,"mean_strength"
"sub-002",54.7994231894228,50.0181809827053,4.78124220671749,0.460545189858291,FALSE,1.16548723841008,"mean_strength"
"sub-003",53.0371509549819,63.3337058273919,-10.29655487241,0.616440315793673,FALSE,-1.56000613429503,"mean_strength"
"sub-004",49.0748196995819,50.7499314305754,-1.6751117309935,0.000622948549637181,FALSE,-0.00157647631714806,"mean_strength"
"sub-006",49.3267658744255,53.5096194937574,-4.1828536193319,0.179747369145237,FALSE,-0.454881018171138,"mean_strength"
"sub-009",48.919377698948,54.450711209477,-5.531333510529,0.276067361373602,FALSE,-0.698634995452843,"mean_strength"
"sub-010",45.0422329760038,49.6141961439313,-4.5719631679275,0.207540908330637,FALSE,-0.525217254319433,"mean_strength"
"sub-011",48.7012150168758,50.5492127008258,-1.84799768395,0.012971945189387,FALSE,-0.032827694021161,"mean_strength"
"sub-012",49.5637956065445,53.3347711222619,-3.7709755157174,0.150327504601344,FALSE,-0.380429091548668,"mean_strength"
"sub-013",45.4286410969301,51.2048481671707,-5.7762070702406,0.29355832992443,FALSE,-0.742898839875353,"mean_strength"
"sub-015",53.5575815463796,58.2402458278963,-4.6826642815167,0.215448130729866,FALSE,-0.5452278135447,"mean_strength"
"sub-017",66.163870211073,53.9728176152813,12.1910525957917,0.989817360506449,TRUE,2.50489968722066,"mean_strength"
"sub-018",46.093432639955,46.0834163141329,0.0100163258221002,0.119743341222906,FALSE,0.303030710456063,"mean_strength"
"sub-019",64.3396632165066,59.4278626883904,4.9118005281162,0.469870784243913,FALSE,1.1890872270461,"mean_strength"
"sub-020",54.285250179297,53.9749103378332,0.310339841463801,0.141195020911599,FALSE,0.357317802081806,"mean_strength"
"sub-001",0.307252303947131,0.329869912425276,-0.022617608478145,0.000739741172509908,FALSE,-0.444719866852744,"global_efficiency"
"sub-002",0.326206169197044,0.314286396180323,0.011919773016721,0.00172721464855195,FALSE,1.03837219973023,"global_efficiency"
"sub-003",0.320649850935182,0.366774113579707,-0.046124262644525,0.00241878789867991,FALSE,-1.45413432727587,"global_efficiency"
"sub-004",0.303807490667736,0.314767965850254,-0.010960475182518,9.29112057491636e-05,FALSE,0.0558566436280697,"global_efficiency"
"sub-006",0.30151406667164,0.325971577890888,-0.024457511219248,0.000871162796874405,FALSE,-0.523728322054239,"global_efficiency"
"sub-009",0.301312581661662,0.327549406087569,-0.026236824425907,0.000998256597350046,FALSE,-0.60013496281693,"global_efficiency"
"sub-010",0.286050328445195,0.317772703202115,-0.03172237475692,0.00139008162099383,FALSE,-0.835693532246298,"global_efficiency"
"sub-011",0.305183985892847,0.313730404441752,-0.00854641854890498,0.00026534382243581,FALSE,0.159520212973236,"global_efficiency"
"sub-012",0.304957838295512,0.322881173651437,-0.017923335355925,0.000404435949494191,FALSE,-0.243140044509433,"global_efficiency"
"sub-013",0.285444924219804,0.321149765305573,-0.035704841085769,0.0016745435016259,FALSE,-1.00670719808045,"global_efficiency"
"sub-015",0.322248267765593,0.345154423484813,-0.02290615571922,0.000760351689729549,FALSE,-0.457110560806664,"global_efficiency"
"sub-017",0.372902147834072,0.325565880081152,0.04733626775292,0.00425696427256617,TRUE,2.55921483735875,"global_efficiency"
"sub-018",0.285385918273996,0.294177114342545,-0.008791196068549,0.00024785971388981,FALSE,0.149009062974332,"global_efficiency"
"sub-019",0.360330039024756,0.348476645844949,0.011853393179807,0.00172247323162953,FALSE,1.03552174016303,"global_efficiency"
"sub-020",0.328277787456677,0.327314698865589,0.000963088591088013,0.00094459433243531,FALSE,0.567874117814987,"global_efficiency"
"sub-001",3.62986743699652,3.53584155673675,0.0940258802597698,0.00164494509459757,FALSE,-0.118619059393428,"char_path_length"
"sub-002",3.50465468505029,3.60109487035257,-0.0964401853022796,0.0152496640633154,FALSE,-1.09967245301811,"char_path_length"
"sub-003",3.5163434896466,3.24519627329857,0.27114721634803,0.0110065789117067,FALSE,0.793698246788954,"char_path_length"
"sub-004",3.7087970589313,3.60312007477079,0.10567698416051,0.000812723387401862,FALSE,-0.0586065055163644,"char_path_length"
"sub-006",3.68476829080053,3.44602585528095,0.23874243551958,0.00869195170967456,FALSE,0.626787568461015,"char_path_length"
"sub-009",3.69982886393998,3.42205651567733,0.27777234826265,0.0114798026198939,FALSE,0.827823003494928,"char_path_length"
"sub-010",3.90092217624043,3.52485673710535,0.37606543913508,0.0185007376822103,FALSE,1.33411146010633,"char_path_length"
"sub-011",3.62819228339005,3.57161791884268,0.05657436454737,0.004320053359769,FALSE,-0.311524480511965,"char_path_length"
"sub-012",3.64670505117673,3.51594122316263,0.1307638280141,0.000979194030711714,FALSE,0.0706109129527497,"char_path_length"
"sub-013",3.87171598982291,3.51406086954753,0.35765512027538,0.0171857149065174,FALSE,1.23928351402721,"char_path_length"
"sub-015",3.4672790591985,3.27199412449836,0.19528493470014,0.00558784450828601,FALSE,0.402946494558695,"char_path_length"
"sub-017",3.07306624975838,3.42739961478404,-0.35433336502566,0.0336706054721283,TRUE,-2.42802970350092,"char_path_length"
"sub-018",3.97055516997483,3.78674647023138,0.18380869974345,0.004768113439951,FALSE,0.343834656357642,"char_path_length"
"sub-019",3.18495725242344,3.27946185859617,-0.0945046061727299,0.0151114084112047,FALSE,-1.08970266407922,"char_path_length"
"sub-020",3.43032411425461,3.41673653495796,0.01358757929665,0.0073905380205347,FALSE,-0.53294099072751,"char_path_length"
"sub-001",0.133527392148082,0.128937154799224,0.00459023734885802,0.000140212824941879,FALSE,-0.204409946403412,"density"
"sub-002",0.132706374085684,0.115129123749813,0.017577250335871,0.000787430959844762,FALSE,1.1479600412086,"density"
"sub-003",0.13752052545156,0.126809971637558,0.010710553814002,0.000296952636854119,FALSE,0.432913840862013,"density"
"sub-004",0.142745185848634,0.125466487535453,0.017278698313181,0.000766105815366904,FALSE,1.11687107597614,"density"
"sub-006",0.137968353485595,0.128787878787879,0.00918047469771599,0.000187661271405118,FALSE,0.273582894045656,"density"
"sub-009",0.103410956859233,0.110426929392447,-0.007015972533214,0.000969227816518452,FALSE,-1.41299346981531,"density"
"sub-010",0.132258546051649,0.12401104642484,0.008247499626809,0.000121020194911762,FALSE,0.176429877694126,"density"
"sub-011",0.12867592177937,0.129646215853112,-0.000970294073741995,0.00053739364084188,FALSE,-0.783441923857944,"density"
"sub-012",0.138677414539484,0.125578444543962,0.013098969995522,0.000467553792676977,FALSE,0.681625562721736,"density"
"sub-013",0.127444394685774,0.12281683833408,0.00462755635169401,0.000137547181882166,FALSE,-0.200523825749381,"density"
"sub-015",0.158866995073892,0.132445141065831,0.026421854008061,0.00141918836500119,TRUE,2.06897063622025,"density"
"sub-017",0.149052097327959,0.144797731004628,0.00425436632333098,0.000164203612479525,FALSE,-0.239385032290017,"density"
"sub-018",0.127742946708464,0.135206747275713,-0.00746380056724899,0.00100121553323524,FALSE,-1.459626917664,"density"
"sub-019",0.142446633825944,0.140244812658606,0.002201821167338,0.000310813980764739,FALSE,-0.453121668263134,"density"
"sub-020",0.13513210927004,0.139573070607553,-0.00444096133751301,0.000785298445396953,FALSE,-1.14485114468532,"density"
"sub-001",0.532174755123869,0.586926310522662,-0.054751555398793,0.00194494489830814,FALSE,-0.693205287065379,"clustering"
"sub-002",0.545087244931026,0.568312490437845,-0.023225245506819,0.000306934379689996,FALSE,0.109395662040771,"clustering"
"sub-003",0.565984273843927,0.649650752020569,-0.083666478176642,0.00401029652529735,FALSE,-1.42932519911195,"clustering"
"sub-004",0.550494455941429,0.576276197978708,-0.025781742037279,0.000124327484657141,FALSE,0.044312036688978,"clustering"
"sub-006",0.498875025902886,0.559111640625799,-0.060236614722913,0.002336734850031,FALSE,-0.832844649697002,"clustering"
"sub-009",0.535141999905576,0.548354297843202,-0.013212297937626,0.00102214492034664,FALSE,0.364306599918419,"clustering"
"sub-010",0.507749780964257,0.551425810160057,-0.0436760291957999,0.00115383588380864,FALSE,-0.411243082391521,"clustering"
"sub-011",0.49945817246872,0.54310087943881,-0.04364270697009,0.00115145572482936,FALSE,-0.410394760781008,"clustering"
"sub-012",0.523731846706253,0.568935489399662,-0.045203642693409,0.00126295113363786,FALSE,-0.450133267993629,"clustering"
"sub-013",0.479730708530598,0.560242669010791,-0.080511960480193,0.00378497383269386,FALSE,-1.34901707215965,"clustering"
"sub-015",0.536065744991949,0.576718818145262,-0.040653073153313,0.000937910452202432,FALSE,-0.334284269351881,"clustering"
"sub-017",0.589436973137089,0.537482184201518,0.0519547889355709,0.00567693683986071,TRUE,2.02333887975483,"clustering"
"sub-018",0.541923680358279,0.536967472823619,0.00495620753465997,0.00231989531122421,FALSE,0.826842804944093,"clustering"
"sub-019",0.578942824274221,0.567483172580234,0.011459651693987,0.00278442703689043,FALSE,0.992408342827217,"clustering"
"sub-020",0.564823024646902,0.531467228875428,0.0333557957714741,0.00434843732813951,FALSE,1.5498432623777,"clustering"
"sub-001",0.393605790841175,0.303410302603607,0.090195488237568,0.00724746555234393,FALSE,1.35273877204188,"modularity"
"sub-002",0.403311071041882,0.462554976581502,-0.05924390553962,0.00342677686031235,FALSE,-0.639607582623317,"modularity"
"sub-003",0.445386236043397,0.342349610544725,0.103036625498672,0.00816468964242279,FALSE,1.52393856324326,"modularity"
"sub-004",0.454984541274979,0.464539969982648,-0.00955542870766901,0.000122400056255575,FALSE,0.0228459591289089,"modularity"
"sub-006",0.392939979372038,0.513590699998804,-0.120650720626766,0.00781297793796564,FALSE,-1.45829160628101,"modularity"
"sub-009",0.546941205952205,0.462290754911542,0.084650451040663,0.00685139146685072,FALSE,1.2788115807806,"modularity"
"sub-010",0.432469007944183,0.491019704919642,-0.0585506969754589,0.00337726196287228,FALSE,-0.630365631616153,"modularity"
"sub-011",0.42437896923808,0.432200355190149,-0.00782138595206899,0.000246260253084149,FALSE,0.0459644533601179,"modularity"
"sub-012",0.462827114336914,0.4804676081993,-0.017640493862386,0.000455104597652783,FALSE,-0.084945230871823,"modularity"
"sub-013",0.414393491228388,0.479182098254651,-0.064788607026263,0.00382282696650114,FALSE,-0.713530298149658,"modularity"
"sub-015",0.405913541273261,0.350465271891883,0.055448269381378,0.00476552134833036,FALSE,0.88948411694001,"modularity"
"sub-017",0.330508658957367,0.428015570092518,-0.097506911135151,0.00615984868856457,FALSE,-1.1497351854591,"modularity"
"sub-018",0.397372177343547,0.466656306112239,-0.069284128768692,0.00414393566238892,FALSE,-0.773465206405514,"modularity"
"sub-019",0.301561503527596,0.375089068594977,-0.073527565067381,0.00444703825515242,FALSE,-0.830039277186023,"modularity"
"sub-020",0.458022216887017,0.381818649812548,0.076203567074469,0.00624804261212258,FALSE,1.16619657309783,"modularity"
"sub-001",0.465016969490701,0.673513582806734,-0.208496613316033,0.0100640296808858,FALSE,-0.778894448220918,"assortativity"
"sub-002",0.389954590739595,0.644188816464631,-0.254234225725036,0.0133310019958146,FALSE,-1.03173815787555,"assortativity"
"sub-003",0.501371679918466,0.649360558796057,-0.147988878877591,0.00574204864956852,FALSE,-0.444399505603374,"assortativity"
"sub-004",0.357478376664126,0.578315740532258,-0.220837363868132,0.0109455118631786,FALSE,-0.847115786965328,"assortativity"
"sub-006",0.379749671886923,0.389173287234523,-0.0094236153476,0.00415547017400227,FALSE,0.321608018945459,"assortativity"
"sub-009",0.351436986328023,0.555673909850201,-0.204236923522178,0.00975976612418188,FALSE,-0.755346306708304,"assortativity"
"sub-010",0.391705785895881,0.265863134530267,0.125842651365614,0.0138173463678033,FALSE,1.06937824273986,"assortativity"
"sub-011",0.375190238042579,0.46171248083135,-0.086522242788771,0.00135157464322423,FALSE,-0.104603624924014,"assortativity"
