"subject","PSIL","MTP","diff","loo_influence","influential","diff_zscore","metric"
"sub-P1",0.545263903059797,0.419204092992885,0.126059810066912,0.00620193130672084,FALSE,-0.180707542623872,"posneg_POS"
"sub-P3",0.390038294424005,0.475681534578224,-0.0856432401542197,0.0485425413509472,FALSE,-1.41439866493546,"posneg_POS"
"sub-P4",0.724766331209507,0.277755658278423,0.447010672931085,0.0579882412661136,FALSE,1.6896208716346,"posneg_POS"
"sub-P5",0.452292346484077,0.25843874775996,0.193853598724117,0.00735682642472005,FALSE,0.214358069925873,"posneg_POS"
"sub-P6",0.389663096486688,0.275533032699061,0.114130063787626,0.00858788056257803,FALSE,-0.250227665554608,"posneg_POS"
"sub-P7",0.534676781920082,0.387670887672503,0.147005894247579,0.00201271447058748,FALSE,-0.0586450684465388,"posneg_POS"
"sub-P1",-0.0386577555047772,-0.12705352194347,0.088395766438693,0.013455436754448,FALSE,0.928142691209433,"posneg_NEG"
"sub-P3",-0.130872460347134,-0.07675036913343,-0.0541220912137035,0.0150481347760313,FALSE,-1.03800542216446,"posneg_NEG"
"sub-P4",-0.0431236150698434,-0.07606579831959,0.0329421832497466,0.00236472011665869,FALSE,0.163116049897611,"posneg_NEG"
"sub-P5",-0.0714944475414216,-0.0696427840874096,-0.00185166345401197,0.00459404922409302,FALSE,-0.316892962169272,"posneg_NEG"
"sub-P6",-0.0255049147919242,-0.143452740862614,0.11794782607069,0.0193658486808473,FALSE,1.33583704789475,"posneg_NEG"
"sub-P7",-0.0960933821114564,-0.0394928570187616,-0.0566005250926948,0.0155438215518296,FALSE,-1.07219740466806,"posneg_NEG"
"sub-P1",14.1049032966339,3.29942914277812,10.8054741538557,1.07897231216667,FALSE,0.666227916968656,"posneg_RATIO"
"sub-P3",2.98029312958162,6.19777520224372,-3.21748207266211,1.72561893313689,FALSE,-1.06550973953804,"posneg_RATIO"
"sub-P4",16.8067155324448,3.65151834877791,13.1551971836669,1.54891691812891,FALSE,0.956402384274642,"posneg_RATIO"
"sub-P5",6.32625836044167,3.71091924520981,2.61533911523186,0.559054695558102,FALSE,-0.34519685175729,"posneg_RATIO"
"sub-P6",15.2779611171283,1.92072337581157,13.3572377413167,1.58932502965887,FALSE,0.981352989280606,"posneg_RATIO"
"sub-P7",5.56413740646493,9.8162279697398,-4.25209056327488,1.93254063125945,FALSE,-1.19327669922858,"posneg_RATIO"
