"net1","net2","mean_full","mean_pos","mean_neg","n_edges","subject","condition"
"Subcortex","Default",0.109692427000915,0.190525229367186,-0.118529017602038,1472,"sub-001","LSD"
"Subcortex","Subcortex",0.296194214784058,0.331678604783157,-0.0975959669132618,496,"sub-001","LSD"
"Vis","Vis",0.448346322563604,0.482593874936888,-0.0735863756052326,406,"sub-001","PLCB"
"Vis","SomMot",0.400165855183581,0.420231871920999,-0.0534194533924684,1015,"sub-001","PLCB"
"Vis","DorsAttn",0.202905993397554,0.295005790274431,-0.131026398959711,754,"sub-001","PLCB"
"Vis","SalVentAttn",0.148440036491347,0.253499506204255,-0.110782785517678,638,"sub-001","PLCB"
"Vis","Limbic",0.0369383464727177,0.154791817580198,-0.130020737596212,348,"sub-001","PLCB"
"Vis","Cont",-0.0795485998802484,0.111686881610523,-0.162406806852362,870,"sub-001","PLCB"
"Vis","Default",0.0544142346115013,0.191745024400719,-0.139537567966037,1334,"sub-001","PLCB"
"Vis","Subcortex",0.103060476816095,0.202034438426549,-0.113593865265894,928,"sub-001","PLCB"
"SomMot","Vis",0.400165855183581,0.420231871920999,-0.0534194533924684,1015,"sub-001","PLCB"
"SomMot","SomMot",0.855410606645636,0.855410606645636,NA,595,"sub-001","PLCB"
"SomMot","DorsAttn",0.332290886704816,0.413703437841912,-0.241919761580718,910,"sub-001","PLCB"
"SomMot","SalVentAttn",0.414667373975476,0.485194889896848,-0.146272403817757,770,"sub-001","PLCB"
"SomMot","Limbic",0.0710026314017298,0.168263083105446,-0.125617418445351,420,"sub-001","PLCB"
"SomMot","Cont",-0.105398039058999,0.110150191120414,-0.208169980030618,1050,"sub-001","PLCB"
"SomMot","Default",-0.0192089161878459,0.216513457993579,-0.2227377253769,1610,"sub-001","PLCB"
"SomMot","Subcortex",0.164650680809013,0.272503174638475,-0.119687712014115,1120,"sub-001","PLCB"
"DorsAttn","Vis",0.202905993397554,0.295005790274431,-0.131026398959711,754,"sub-001","PLCB"
"DorsAttn","SomMot",0.332290886704816,0.413703437841912,-0.241919761580718,910,"sub-001","PLCB"
"DorsAttn","DorsAttn",0.336980539145873,0.421763145159062,-0.204472012892902,325,"sub-001","PLCB"
"DorsAttn","SalVentAttn",0.21208120757346,0.293396758278674,-0.14957938461068,572,"sub-001","PLCB"
"DorsAttn","Limbic",0.00411330288548324,0.121722067421643,-0.133096922406703,312,"sub-001","PLCB"
"DorsAttn","Cont",0.0664436860979128,0.231546894156871,-0.158697052164303,780,"sub-001","PLCB"
"DorsAttn","Default",-0.0510410131737016,0.17488413105221,-0.193746800044912,1196,"sub-001","PLCB"
"DorsAttn","Subcortex",0.0681445227508686,0.15229018666599,-0.104153741456284,832,"sub-001","PLCB"
"SalVentAttn","Vis",0.148440036491347,0.253499506204255,-0.110782785517678,638,"sub-001","PLCB"
"SalVentAttn","SomMot",0.414667373975476,0.485194889896848,-0.146272403817757,770,"sub-001","PLCB"
"SalVentAttn","DorsAttn",0.21208120757346,0.293396758278674,-0.14957938461068,572,"sub-001","PLCB"
"SalVentAttn","SalVentAttn",0.39613508992296,0.444482122550987,-0.113926104302729,231,"sub-001","PLCB"
"SalVentAttn","Limbic",0.0655204224905287,0.174372954548198,-0.118862437933686,264,"sub-001","PLCB"
"SalVentAttn","Cont",0.0190322092265625,0.211637769153393,-0.184373662471866,660,"sub-001","PLCB"
"SalVentAttn","Default",-0.0255654649361739,0.198343971638893,-0.19780349307084,1012,"sub-001","PLCB"
