"subject","condition","POS","NEG","RATIO"
"sub-001","LSD",0.252738353422857,-0.146144399291222,1.72937419872811
"sub-001","PLCB",0.282296897584182,-0.15869682805791,1.77884398219459
"sub-002","LSD",0.27804947962682,-0.156749771697432,1.77384296395358
"sub-002","PLCB",0.254663977094093,-0.164821622933772,1.5450883965414
"sub-003","LSD",0.268366777761571,-0.144266112832511,1.86022048069694
"sub-003","PLCB",0.335436058069652,-0.168024806177246,1.99634843033717
"sub-004","LSD",0.251084053233426,-0.116112184469069,2.1624264015144
"sub-004","PLCB",0.263663788715508,-0.145707958071334,1.80953595263771
"sub-006","LSD",0.24165330934576,-0.151041495058854,1.59991338308455
"sub-006","PLCB",0.266751258423861,-0.168150392744172,1.58638498590783
"sub-009","LSD",0.240077421235063,-0.181481410238711,1.32287610570845
"sub-009","PLCB",0.268141710140589,-0.195762272900677,1.36973128768603
"sub-010","LSD",0.229241511067148,-0.128133722419996,1.78908024162243
"sub-010","PLCB",0.247720662230225,-0.161047831080864,1.53818067941469
"sub-011","LSD",0.241090410582597,-0.156257509650107,1.54290447302308
"sub-011","PLCB",0.255189124509394,-0.151843864957216,1.68060214076675
"sub-012","LSD",0.24451757249488,-0.146854525626206,1.66503259911281
"sub-012","PLCB",0.268798942684005,-0.166933604473015,1.61021469303658
"sub-013","LSD",0.224570558115763,-0.14764499670596,1.52101705527484
"sub-013","PLCB",0.256906753568883,-0.165598401099342,1.55138426375727
"sub-015","LSD",0.261716540001143,-0.116581076364837,2.24493158033735
"sub-015","PLCB",0.290572966450107,-0.176737512581904,1.64409333482867
"sub-017","LSD",0.329302305125295,-0.161028195041385,2.04499780327702
"sub-017","PLCB",0.267313578071081,-0.145409822041344,1.83834609188282
"sub-018","LSD",0.229369171735559,-0.146801447369144,1.5624448930588
"sub-018","PLCB",0.233640498016657,-0.12824313683535,1.82185576384197
"sub-019","LSD",0.324913025588874,-0.16371882242914,1.98457954172924
"sub-019","PLCB",0.297117626504298,-0.163726189087875,1.81472266690841
"sub-020","LSD",0.269313993084453,-0.16352078886255,1.64697097511454
"sub-020","PLCB",0.269893990326701,-0.150018710622303,1.7990688575254
