"subject","condition","POS","NEG","RATIO"
"sub-001","LSD",0.206948451294992,-0.17048386237343,1.2138888010508
"sub-001","PLCB",0.225887578667819,-0.182588830979637,1.23713798623866
"sub-002","LSD",0.210500411468757,-0.18212122205328,1.15582582356698
"sub-002","PLCB",0.228255473752924,-0.189561569192718,1.20412314967106
"sub-003","LSD",0.233849447950223,-0.204086695276834,1.14583387041971
"sub-003","PLCB",0.287089814007279,-0.250026946746169,1.14823549118782
"sub-004","LSD",0.216110743089001,-0.176683964332777,1.22314859701679
"sub-004","PLCB",0.233425547962713,-0.18837354886204,1.23916308511907
"sub-006","LSD",0.187483044333745,-0.161868522141134,1.15824276303874
"sub-006","PLCB",0.249093665256423,-0.211040300735766,1.18031325954327
"sub-009","LSD",0.234253011600109,-0.197569995839718,1.18567098513355
"sub-009","PLCB",0.246578762349038,-0.20449028174154,1.2058214221676
"sub-010","LSD",0.202928337458754,-0.16525702169208,1.22795591606913
"sub-010","PLCB",0.237506285208878,-0.202142939469644,1.17494227516437
"sub-011","LSD",0.20711759353879,-0.186265993044798,1.11194528938504
"sub-011","PLCB",0.215357746773749,-0.1811128575542,1.18908038712437
"sub-012","LSD",0.211121145683017,-0.184481370822775,1.14440360423077
"sub-012","PLCB",0.246217705810976,-0.211833710992073,1.16231597255165
"sub-013","LSD",0.200701832583876,-0.173423055889922,1.15729613662942
"sub-013","PLCB",0.231259719186234,-0.191957002630171,1.20474750083374
"sub-015","LSD",0.203887779881889,-0.171564401129493,1.1884037628995
"sub-015","PLCB",0.211154794739367,-0.176789192134051,1.19438746334254
"sub-017","LSD",0.251779215253123,-0.229807986349902,1.09560689883844
"sub-017","PLCB",0.226564925362701,-0.194654173796591,1.16393561434473
"sub-018","LSD",0.188332110624014,-0.154243198472576,1.22100755488093
"sub-018","PLCB",0.204650812438774,-0.173760395414367,1.17777593651731
"sub-019","LSD",0.217181546186989,-0.188241651583194,1.15373799773003
"sub-019","PLCB",0.224853120708222,-0.184445908711849,1.21907350658289
"sub-020","LSD",0.237689288878717,-0.19537751379567,1.21656420056249
"sub-020","PLCB",0.221404414893483,-0.183358076015199,1.20749748091341
