"subject","condition","POS_PRIM","NEG_PRIM","RATIO_PRIM","POS_GSR","NEG_GSR","RATIO_GSR"
"sub-001","LSD",0.252738353422857,-0.146144399291222,1.72937419872811,0.206948451294992,-0.17048386237343,1.2138888010508
"sub-001","PLCB",0.282296897584182,-0.15869682805791,1.77884398219459,0.225887578667819,-0.182588830979637,1.23713798623866
"sub-002","LSD",0.27804947962682,-0.156749771697432,1.77384296395358,0.210500411468757,-0.18212122205328,1.15582582356698
"sub-002","PLCB",0.254663977094093,-0.164821622933772,1.5450883965414,0.228255473752924,-0.189561569192718,1.20412314967106
"sub-003","LSD",0.268366777761571,-0.144266112832511,1.86022048069694,0.233849447950223,-0.204086695276834,1.14583387041971
"sub-003","PLCB",0.335436058069652,-0.168024806177246,1.99634843033717,0.287089814007279,-0.250026946746169,1.14823549118782
"sub-004","LSD",0.251084053233426,-0.116112184469069,2.1624264015144,0.216110743089001,-0.176683964332777,1.22314859701679
"sub-004","PLCB",0.263663788715508,-0.145707958071334,1.80953595263771,0.233425547962713,-0.18837354886204,1.23916308511907
"sub-006","LSD",0.24165330934576,-0.151041495058854,1.59991338308455,0.187483044333745,-0.161868522141134,1.15824276303874
"sub-006","PLCB",0.266751258423861,-0.168150392744172,1.58638498590783,0.249093665256423,-0.211040300735766,1.18031325954327
"sub-009","LSD",0.240077421235063,-0.181481410238711,1.32287610570845,0.234253011600109,-0.197569995839718,1.18567098513355
"sub-009","PLCB",0.268141710140589,-0.195762272900677,1.36973128768603,0.246578762349038,-0.20449028174154,1.2058214221676
"sub-010","LSD",0.229241511067148,-0.128133722419996,1.78908024162243,0.202928337458754,-0.16525702169208,1.22795591606913
"sub-010","PLCB",0.247720662230225,-0.161047831080864,1.53818067941469,0.237506285208878,-0.202142939469644,1.17494227516437
"sub-011","LSD",0.241090410582597,-0.156257509650107,1.54290447302308,0.20711759353879,-0.186265993044798,1.11194528938504
"sub-011","PLCB",0.255189124509394,-0.151843864957216,1.68060214076675,0.215357746773749,-0.1811128575542,1.18908038712437
"sub-012","LSD",0.24451757249488,-0.146854525626206,1.66503259911281,0.211121145683017,-0.184481370822775,1.14440360423077
"sub-012","PLCB",0.268798942684005,-0.166933604473015,1.61021469303658,0.246217705810976,-0.211833710992073,1.16231597255165
"sub-013","LSD",0.224570558115763,-0.14764499670596,1.52101705527484,0.200701832583876,-0.173423055889922,1.15729613662942
"sub-013","PLCB",0.256906753568883,-0.165598401099342,1.55138426375727,0.231259719186234,-0.191957002630171,1.20474750083374
"sub-015","LSD",0.261716540001143,-0.116581076364837,2.24493158033735,0.203887779881889,-0.171564401129493,1.1884037628995
"sub-015","PLCB",0.290572966450107,-0.176737512581904,1.64409333482867,0.211154794739367,-0.176789192134051,1.19438746334254
"sub-017","LSD",0.329302305125295,-0.161028195041385,2.04499780327702,0.251779215253123,-0.229807986349902,1.09560689883844
"sub-017","PLCB",0.267313578071081,-0.145409822041344,1.83834609188282,0.226564925362701,-0.194654173796591,1.16393561434473
"sub-018","LSD",0.229369171735559,-0.146801447369144,1.5624448930588,0.188332110624014,-0.154243198472576,1.22100755488093
"sub-018","PLCB",0.233640498016657,-0.12824313683535,1.82185576384197,0.204650812438774,-0.173760395414367,1.17777593651731
"sub-019","LSD",0.324913025588874,-0.16371882242914,1.98457954172924,0.217181546186989,-0.188241651583194,1.15373799773003
"sub-019","PLCB",0.297117626504298,-0.163726189087875,1.81472266690841,0.224853120708222,-0.184445908711849,1.21907350658289
"sub-020","LSD",0.269313993084453,-0.16352078886255,1.64697097511454,0.237689288878717,-0.19537751379567,1.21656420056249
"sub-020","PLCB",0.269893990326701,-0.150018710622303,1.7990688575254,0.221404414893483,-0.183358076015199,1.20749748091341
