"subject","network","condition","n_rois","metastability","synch_entropy","synch_entropy_raw"
"sub-001","Vis","LSD",29,0.482024629916666,3.28479146806495,3.28479146806495
"sub-001","Vis","PLCB",29,0.55801543930431,3.41838183933791,3.41838183933791
"sub-001","SomMot","LSD",35,0.448612087075309,3.10645790456798,3.10645790456798
"sub-001","SomMot","PLCB",35,0.286395775364664,2.46451700057573,2.46451700057573
"sub-001","DorsAttn","LSD",26,0.572557832558315,3.3077931652516,3.3077931652516
"sub-001","DorsAttn","PLCB",26,0.609127894432124,3.35309290331874,3.35309290331874
"sub-001","SalVentAttn","LSD",22,0.503651087180056,3.3189512722867,3.3189512722867
"sub-001","SalVentAttn","PLCB",22,0.55223937102462,3.4655535608777,3.4655535608777
"sub-001","Limbic","LSD",12,0.877472484411106,2.70805878905668,2.70805878905668
"sub-001","Limbic","PLCB",12,0.644002950913626,2.53311893937925,2.53311893937925
"sub-001","Cont","LSD",30,0.63454647424686,3.45380517255336,3.45380517255336
"sub-001","Cont","PLCB",30,0.62984896263011,3.596494403722,3.596494403722
"sub-001","Default","LSD",46,0.619919982638649,3.29116339952378,3.29116339952378
"sub-001","Default","PLCB",46,0.618350101548644,3.35452908132614,3.35452908132614
"sub-001","Subcortex","LSD",32,0.588255610030938,3.31934930891535,3.31934930891535
"sub-001","Subcortex","PLCB",32,0.583022164186416,3.40758547019726,3.40758547019726
"sub-002","Vis","LSD",29,0.450558377578968,3.54898007283821,3.54898007283821
"sub-002","Vis","PLCB",29,0.510356853349991,3.82026468814026,3.82026468814026
"sub-002","SomMot","LSD",35,0.354396527665334,3.38423835699396,3.38423835699396
"sub-002","SomMot","PLCB",35,0.361058812382428,3.34242252909066,3.34242252909066
"sub-002","DorsAttn","LSD",26,0.454905542088467,3.29730729944036,3.29730729944036
"sub-002","DorsAttn","PLCB",26,0.467581690155244,3.36184600556103,3.36184600556103
"sub-002","SalVentAttn","LSD",22,0.469230168881381,3.14405147311169,3.14405147311169
"sub-002","SalVentAttn","PLCB",22,0.469603238395751,3.30953856746113,3.30953856746113
"sub-002","Limbic","LSD",12,0.690359102244019,3.55951232600821,3.55951232600821
"sub-002","Limbic","PLCB",12,0.657036875870138,3.53321063727497,3.53321063727497
"sub-002","Cont","LSD",30,0.582556395681995,3.31965010399293,3.31965010399293
"sub-002","Cont","PLCB",30,0.557234269546127,3.32693569196142,3.32693569196142
"sub-002","Default","LSD",46,0.613435365846276,3.22650867487648,3.22650867487648
"sub-002","Default","PLCB",46,0.546716770630574,3.2035818885934,3.2035818885934
"sub-002","Subcortex","LSD",32,0.583098649365563,3.53409964026686,3.53409964026686
"sub-002","Subcortex","PLCB",32,0.609759620403994,3.55800510123712,3.55800510123712
"sub-003","Vis","LSD",29,0.470171209468959,3.35699047026394,3.35699047026394
"sub-003","Vis","PLCB",29,0.49262394930751,3.23530092921318,3.23530092921318
"sub-003","SomMot","LSD",35,0.354834589861608,3.57673701610485,3.57673701610485
"sub-003","SomMot","PLCB",35,0.218971208664015,2.97381072344521,2.97381072344521
"sub-003","DorsAttn","LSD",26,0.496926835154447,2.70137361852459,2.70137361852459
"sub-003","DorsAttn","PLCB",26,0.67255747913702,2.80560515737133,2.80560515737133
"sub-003","SalVentAttn","LSD",22,0.44779980352877,3.22799565081727,3.22799565081727
"sub-003","SalVentAttn","PLCB",22,0.516205347260338,3.29531448977579,3.29531448977579
"sub-003","Limbic","LSD",12,0.711920457743069,3.35626871868848,3.35626871868848
"sub-003","Limbic","PLCB",12,0.694507215077446,3.39271647155206,3.39271647155206
"sub-003","Cont","LSD",30,0.55100967564837,3.28442634175147,3.28442634175147
"sub-003","Cont","PLCB",30,0.581975767096201,3.24505394483324,3.24505394483324
"sub-003","Default","LSD",46,0.51673513623498,3.36331484108044,3.36331484108044
"sub-003","Default","PLCB",46,0.565829820742797,3.35634898204313,3.35634898204313
"sub-003","Subcortex","LSD",32,0.500349373901093,3.2662933464474,3.2662933464474
"sub-003","Subcortex","PLCB",32,0.640688886875702,3.55263289941031,3.55263289941031
"sub-004","Vis","LSD",29,0.634107235108564,3.48263149797395,3.48263149797395
"sub-004","Vis","PLCB",29,0.64418300635804,3.49283262389271,3.49283262389271
"sub-004","SomMot","LSD",35,0.405824253982139,3.4666569244675,3.4666569244675
"sub-004","SomMot","PLCB",35,0.318793090920274,3.21947843400474,3.21947843400474
"sub-004","DorsAttn","LSD",26,0.62476716537907,2.9734571222177,2.9734571222177
"sub-004","DorsAttn","PLCB",26,0.651855350688508,2.96340947283319,2.96340947283319
"sub-004","SalVentAttn","LSD",22,0.601953353292822,3.13965036712077,3.13965036712077
"sub-004","SalVentAttn","PLCB",22,0.579125722756894,3.22042639812007,3.22042639812007
"sub-004","Limbic","LSD",12,0.687001461306903,2.82287010538143,2.82287010538143
"sub-004","Limbic","PLCB",12,0.792534891399405,2.86841513801375,2.86841513801375
"sub-004","Cont","LSD",30,0.676490639491049,2.82576209993033,2.82576209993033
"sub-004","Cont","PLCB",30,0.554522027306491,2.72357379009508,2.72357379009508
"sub-004","Default","LSD",46,0.712295135797106,3.13502511786753,3.13502511786753
"sub-004","Default","PLCB",46,0.644936149214516,3.06797028101924,3.06797028101924
"sub-004","Subcortex","LSD",32,0.607735650607204,3.08954832363069,3.08954832363069
"sub-004","Subcortex","PLCB",32,0.594206238258884,3.14214736914666,3.14214736914666
"sub-006","Vis","LSD",29,0.564916757110324,3.61787627745494,3.61787627745494
"sub-006","Vis","PLCB",29,0.560556985593793,3.48756760976723,3.48756760976723
"sub-006","SomMot","LSD",35,0.557592245378375,3.77702200770561,3.77702200770561
"sub-006","SomMot","PLCB",35,0.408116855438412,3.27609460369189,3.27609460369189
